Player,Pos,Age,Height,FG,3P,FT,TRB,AST,STL,BLK,PTS
Johnathan Williams,C,23,81,0.591,0,0.563,9.6,1.3,0.8,0.7,15.2
Jon Leuer,PF,29,82,0.584,0.091,0.742,8.7,1.3,1.1,0.4,14
Jonah Bolden,PF,23,82,0.494,0.354,0.481,9.3,2.3,1,2.2,11.7
Jonas Jerebko,PF,31,82,0.459,0.367,0.8,8.5,2.8,0.8,0.5,13.6
Jonas Valan?i?nas,C,26,84,0.559,0.292,0.795,13.8,2.3,0.6,1.7,25.2
Jonathan Isaac,PF,21,82,0.429,0.323,0.815,7.4,1.4,1.1,1.8,13
Jonathon Simmons,SG-SF,29,78,0.38,0.269,0.742,4.3,4.3,1,0.5,12.4
Jordan Bell,C,24,81,0.516,0,0.61,8.4,3.5,0.9,2.3,10.2
Jordan Clarkson,SG,26,77,0.448,0.324,0.844,4.4,3.2,0.9,0.2,22.2
Jordan Loyd,PG,25,76,0.444,0.5,0.818,5.9,3.9,0,0,19
Jordan McRae,SG,27,77,0.469,0.286,0.8,4.3,3.2,1.4,0.8,17.3
Jordan Sibert,SG,26,76,1,1,,0,0,0,0,27
José Calderón,PG,37,75,0.375,0.246,0.818,3.4,6.6,0.9,0.2,6.4
Josh Hart,SG,23,77,0.407,0.336,0.688,5.2,2,1.3,0.8,11
Josh Jackson,SG,21,80,0.413,0.324,0.671,6.3,3.3,1.3,1,16.5
Josh Okogie,SG,20,76,0.386,0.279,0.728,4.5,1.9,1.8,0.7,11.7
Josh Richardson,SG,25,78,0.412,0.357,0.861,3.7,4.2,1.1,0.5,17.1
Jrue Holiday,SG,28,76,0.472,0.325,0.768,5,7.8,1.6,0.8,21.3
Juan Hernangómez,PF,23,81,0.439,0.365,0.767,7,1.5,0.7,0.6,10.8
Julian Washburn,SF,27,80,0.333,0.208,0.75,5.8,2,1.8,0.3,5.7
Julius Randle,PF,24,81,0.524,0.344,0.731,10.2,3.7,0.8,0.7,25.2
Justin Anderson,SF,25,78,0.408,0.312,0.743,6.5,1.8,1.7,1,13.8
Justin Holiday,SG,29,78,0.386,0.348,0.896,4.5,2,1.7,0.5,11.8
Justin Jackson,SF,23,80,0.447,0.355,0.785,4.7,2.1,0.7,0.3,13
Justin Patton,C,21,84,0.286,0,0.5,10.3,5.1,3.4,0,8.6
Justise Winslow,SF,22,79,0.433,0.375,0.628,6.5,5.2,1.3,0.3,15.3
Jusuf Nurki?,C,24,84,0.508,0.103,0.773,13.6,4.2,1.3,1.9,20.5
Kadeem Allen,SG,26,75,0.461,0.472,0.778,4.4,6.6,1.4,0.3,16.4
Kalin Lucas,PG,29,73,0,0,1,18,6,0,0,12
Karl-Anthony Towns,C,23,84,0.518,0.4,0.836,13.5,3.7,0.9,1.8,26.6
Kawhi Leonard,SF,27,79,0.496,0.371,0.854,7.7,3.5,1.9,0.4,28.2
Keita Bates-Diop,SF,23,81,0.423,0.25,0.643,5.9,1.2,1.3,1,10.8
Kelly Olynyk,PF,27,84,0.463,0.354,0.822,7.5,2.8,1.1,0.7,15.6
Kelly Oubre,SF,23,79,0.445,0.32,0.775,6,1.6,1.6,1.1,19.5
Kemba Walker,PG,28,73,0.434,0.356,0.844,4.5,6.1,1.3,0.4,26.4
Kenneth Faried,C,29,80,0.589,0.32,0.646,12.4,1,0.8,1.1,19
Kenrich Williams,SF,24,79,0.384,0.333,0.684,7.3,2.8,1.5,0.6,9.3
Kent Bazemore,SG,29,77,0.402,0.32,0.726,5.7,3.3,2,0.9,17.1
Kentavious Caldwell-Pope,SG,25,77,0.43,0.347,0.867,4.2,1.9,1.3,0.2,16.6
Kevin Durant,SF,30,81,0.521,0.353,0.885,6.6,6.1,0.8,1.1,27
Kevin Huerter,SG,20,79,0.419,0.385,0.732,4.3,3.8,1.1,0.4,12.8
Kevin Knox,PF,19,81,0.37,0.343,0.717,5.6,1.4,0.7,0.4,16.1
Kevin Love,PF,30,82,0.385,0.361,0.904,14.4,2.9,0.4,0.3,22.5
Kevon Looney,C,22,81,0.625,0.1,0.619,10.1,3,1.1,1.3,12.2
Khem Birch,C,26,81,0.603,0,0.699,10.6,2.1,1,1.6,13.4
Khris Middleton,SF,27,80,0.441,0.378,0.837,6.9,5,1.2,0.1,21.2
Khyri Thomas,SG,22,75,0.319,0.286,0.636,3.7,1.5,1.3,0.9,11.3
Klay Thompson,SG,28,79,0.467,0.402,0.816,4.1,2.5,1.1,0.6,22.8
Kobi Simmons,PG,21,76,,0,,0,0,0,0,0
Kosta Koufos,C,29,84,0.477,0,0.417,12.7,2.6,1.1,1.3,11.2
Kostas Antetokounmpo,PF,21,82,0,0,0.5,3.3,0,6.5,0,6.5
Kris Dunn,PG,24,76,0.425,0.354,0.797,4.8,7.2,1.8,0.5,13.5
Kyle Anderson,SF,25,81,0.543,0.265,0.578,7.1,3.6,1.5,1,9.7
Kyle Korver,SG-PF,37,79,0.416,0.397,0.822,4.4,2.2,0.7,0.3,16.2
Kyle Kuzma,PF,23,81,0.456,0.303,0.752,5.9,2.8,0.6,0.4,20.3
Kyle Lowry,PG,32,73,0.411,0.347,0.83,5.1,9.2,1.5,0.5,15.1
Kyle O'Quinn,C,28,82,0.507,0.083,0.81,11.5,5.4,0.9,2.4,15.1
Kyrie Irving,PG,26,75,0.487,0.401,0.873,5.4,7.5,1.7,0.6,26
LaMarcus Aldridge,C,33,83,0.519,0.238,0.847,10,2.6,0.6,1.4,23.1
Lance Stephenson,SG,28,78,0.426,0.371,0.685,6.9,4.5,1.3,0.2,15.7
Lance Thomas,PF,30,80,0.396,0.278,0.75,5.4,1.2,0.8,0.3,9.4
Landry Shamet,SG,21,77,0.431,0.422,0.806,2.7,2.3,0.7,0.2,14.4
Langston Galloway,SG,27,74,0.388,0.355,0.844,3.5,1.8,0.8,0.2,13.9
Larry Nance,C,26,81,0.52,0.337,0.716,11.1,4.3,2,0.8,12.6
Lauri Markkanen,PF,21,84,0.43,0.361,0.872,10.1,1.6,0.8,0.7,20.8
LeBron James,SF,34,80,0.51,0.339,0.665,8.6,8.4,1.3,0.6,28
Lonnie Walker,SG,20,77,0.348,0.385,0.8,5.2,2.7,2.1,0.9,13.7
Lonzo Ball,PG,21,78,0.406,0.329,0.417,6.3,6.5,1.7,0.5,11.8
Lorenzo Brown,PG,28,77,0.324,0.214,1,5.3,4.8,2,0.8,9.3
Lou Williams,SG,32,73,0.425,0.361,0.876,4,7.3,1,0.2,27.1
Luc Mbah a Moute,PF,32,80,0.444,0.333,0.4,4.1,1.2,0.6,0.6,11.8
Luka Don?i?,SG,19,79,0.427,0.327,0.713,8.7,6.7,1.2,0.4,23.7
Luke Kennard,SG,22,77,0.438,0.394,0.836,4.6,2.9,0.7,0.3,15.4
Luke Kornet,PF,23,85,0.378,0.363,0.826,6.2,2.5,1.2,1.9,14.8
Luol Deng,SF,33,81,0.5,0.318,0.714,6.7,1.7,1.4,0.7,14.4
Malachi Richardson,SG,23,78,0.31,0.32,0.8,4.5,0,0.3,0,10.5
Malcolm Brogdon,SG,26,77,0.505,0.426,0.928,5.7,4,0.9,0.3,19.7
Malcolm Miller,SF,25,79,0.423,0.476,0.75,2.7,0.5,0.5,0.5,18.8
Malik Beasley,SG,22,77,0.474,0.402,0.848,3.8,1.9,1.1,0.2,17.6
Malik Monk,SG,20,75,0.387,0.33,0.882,3.9,3.3,1.1,0.5,18.7
Marc Gasol,C,34,85,0.448,0.363,0.759,9.3,5.2,1.2,1.3,15.8
Marcin Gortat,C,34,83,0.532,0,0.729,12.5,3.1,0.3,1.2,11.2
Marco Belinelli,SG,32,77,0.413,0.372,0.903,3.9,2.6,0.7,0.2,16.4
Marcus Derrickson,PF,22,79,0.485,0.5,0.8,7,0.5,0,0.5,24.7
Marcus Morris,PF,29,81,0.447,0.375,0.844,7.9,1.9,0.7,0.4,18
Marcus Smart,SG,24,76,0.422,0.364,0.806,3.8,5.3,2.3,0.5,11.6
Mario Hezonja,SF,23,80,0.412,0.276,0.763,7.1,2.6,1.7,0.2,15.3
Markelle Fultz,SG,20,76,0.419,0.286,0.568,5.9,5,1.4,0.4,13.1
Markieff Morris,PF,29,82,0.421,0.335,0.772,7.5,2.2,1,0.6,15.5
Marquese Chriss,PF,21,82,0.372,0.222,0.711,10.2,1.6,1.2,0.8,13.1
MarShon Brooks,SG,30,,0.45,0.278,0.697,4.2,2.3,0.8,0.4,17.7
Marvin Bagley,PF,19,83,0.504,0.313,0.691,10.8,1.4,0.8,1.4,21.2
Marvin Williams,PF,32,81,0.422,0.366,0.767,6.9,1.6,1.2,1,12.8
Mason Plumlee,C,28,83,0.593,0.2,0.561,10.9,5.1,1.4,1.6,13.2
Matthew Dellavedova,PG,28,76,0.405,0.338,0.808,3.4,8,0.6,0.1,12.5
Maurice Harkless,SF,25,81,0.487,0.275,0.671,6.8,1.9,1.7,1.3,11.7
Maxi Kleber,PF,27,81,0.453,0.353,0.784,7.9,1.7,0.9,1.9,11.6
Melvin Frazier,SG,22,78,0.333,0,0.25,4.1,0.8,0.8,0,12.3
Meyers Leonard,C,26,85,0.545,0.45,0.843,9.6,3.1,0.5,0.4,14.6
Michael Beasley,PF,30,81,0.49,0.176,0.718,7.8,3.2,1.2,1.3,23.5
Michael Carter-Williams,PG,27,78,0.374,0.263,0.604,6.8,6.8,1.9,1.5,13
Michael Kidd-Gilchrist,PF,25,79,0.476,0.34,0.772,7.5,1.9,1,1.2,13
Mikal Bridges,SF,22,79,0.43,0.335,0.805,3.9,2.6,1.9,0.6,10.2
Mike Conley,PG,31,73,0.438,0.364,0.845,3.7,6.9,1.4,0.3,22.7
Mike Muscala,PF,27,83,0.402,0.348,0.824,6.7,2.1,0.6,1,12.4
Mike Scott,PF,30,80,0.4,0.401,0.667,7.1,1.7,0.7,0.3,11.8
Miles Bridges,SF,20,79,0.464,0.325,0.753,6.9,2,1.2,1,12.7
Miles Plumlee,C,30,83,0.667,0,0.533,8.1,3.5,1.2,0.8,16.6
Miloš Teodosi?,PG,31,77,0.425,0.37,0.571,3.8,7.7,0.7,0.2,11.5
Mitch Creek,SF,26,78,0.5,0,0.714,9,4.5,1.5,0,15.8
Mitchell Robinson,C,20,85,0.694,0,0.6,11.2,1,1.4,4.3,12.8
Mo Bamba,C,20,84,0.481,0.3,0.587,11,1.8,0.6,3,13.7
Monte Morris,PG,23,75,0.493,0.414,0.802,3.5,5.4,1.3,0.1,15.6
Montrezl Harrell,C,25,80,0.615,0.176,0.643,8.9,2.7,1.2,1.8,22.7
Moritz Wagner,C,21,83,0.415,0.286,0.811,6.9,1.9,0.9,1,16.7
Myles Turner,C,22,83,0.487,0.388,0.736,9,2,1,3.4,16.7
Naz Mitrou-Long,SG,25,76,0.3,0.182,1,2.6,6.4,0.4,0.4,6.9
Nemanja Bjelica,PF,30,82,0.479,0.401,0.761,8.9,3,1.1,1.1,14.9
Nenê Hilário,C,36,83,0.517,0,0.66,8.1,1.7,1.2,1,10
Nerlens Noel,C,24,83,0.587,0,0.684,11.1,1.5,2.3,3.3,12.9
Nick Young,SG,33,79,0.333,0.375,,1,1.9,0,1,8.8
Nicolas Batum,SF,30,80,0.45,0.389,0.865,6,3.8,1.1,0.7,10.7
Nik Stauskas,SG,25,78,0.402,0.372,0.891,4.5,2.9,0.7,0.2,14.2
Nikola Joki?,C,23,84,0.511,0.307,0.821,12.4,8.3,1.6,0.8,23.1
Nikola Miroti?,PF,27,82,0.439,0.365,0.847,9.8,1.6,0.9,1,20.2
Nikola Vu?evi?,C,28,84,0.518,0.364,0.789,13.8,4.4,1.2,1.3,23.9
Noah Vonleh,PF,23,81,0.47,0.336,0.712,11,2.7,1,1.1,11.9
Norman Powell,SG,25,76,0.483,0.4,0.827,4.4,2.9,1.2,0.4,16.5
OG Anunoby,SF,21,80,0.453,0.332,0.581,5.2,1.3,1.2,0.6,12.5
Okaro White,PF,26,80,0,0,,12,0,0,0,0
Omari Spellman,PF,21,81,0.402,0.344,0.711,8.7,2.1,1.2,1.1,12.2
Omri Casspi,SF,30,81,0.534,0.349,0.672,8,1.8,1.4,0.6,15.6
Otto Porter,SF,25,80,0.465,0.406,0.813,6.7,2.6,1.8,0.7,16.7
P.J. Tucker,PF,33,78,0.396,0.377,0.695,6.2,1.2,1.7,0.5,7.7
Pascal Siakam,PF,24,81,0.549,0.369,0.785,7.8,3.5,1,0.7,19.1
Pat Connaughton,SG,26,76,0.466,0.33,0.725,7.4,3.5,0.9,0.7,12
Patrick Beverley,PG,30,73,0.407,0.397,0.78,6.5,5.1,1.1,0.7,10
Patrick McCaw,SG,23,79,0.413,0.321,0.867,4.4,2.6,2.1,0.2,6.7
Patrick Patterson,PF,29,81,0.374,0.336,0.633,6.1,1.3,0.7,0.5,9.6
Patty Mills,PG,30,72,0.425,0.394,0.854,3.4,4.6,0.9,0.2,15.3
Pau Gasol,C,38,84,0.447,0.462,0.7,13.7,5.2,0.5,1.5,11.8
Paul George,SF,28,81,0.438,0.386,0.839,8,4,2.2,0.4,27.4
Paul Millsap,PF,33,80,0.484,0.365,0.727,9.6,2.7,1.6,1,16.8
PJ Dozier,SG,22,78,0.381,0.25,0.5,12,3.5,1.4,0,13.4
Quincy Acy,PF,28,79,0.222,0.133,0.7,7.3,2.3,0.3,1.2,5
Quincy Pondexter,SF,30,79,0.5,0.333,0.81,5.7,3,1.4,0.1,12.1
Quinn Cook,PG,25,74,0.465,0.405,0.769,5.3,3.9,0.7,0.1,17.3
R.J. Hunter,SG,25,77,0.462,0.4,0.5,4.2,4.2,1.4,0,23.5
Rajon Rondo,PG,32,73,0.405,0.359,0.639,6.4,9.7,1.5,0.2,11.1
Raul Neto,PG,26,73,0.46,0.333,0.848,4.7,7.1,1.1,0.3,14.9
Rawle Alkins,SG,21,77,0.333,0.25,0.667,7.8,3.9,0.3,0,11.1
Ray Spalding,PF,21,82,0.532,0,0.333,11.7,1.2,2.2,1.9,13.1
Raymond Felton,PG,34,73,0.407,0.328,0.923,3.2,4.9,0.9,0.6,13.5
Reggie Bullock,SG,27,79,0.412,0.377,0.859,3.3,2.5,0.8,0.2,13.6
Reggie Jackson,PG,28,75,0.421,0.369,0.864,3.4,5.4,0.9,0.1,19.8
Richaun Holmes,C,25,82,0.608,0,0.731,10.1,1.8,1.3,2.4,17.4
Ricky Rubio,PG,28,76,0.404,0.311,0.855,4.6,7.9,1.7,0.2,16.4
Robert Covington,SF,28,81,0.431,0.378,0.764,5.8,1.4,2.2,1.4,13.9
Robert Williams,C,21,82,0.706,0,0.6,10.3,0.9,1.1,5.1,10.3
Robin Lopez,C,30,84,0.568,0.226,0.724,6.4,2,0.2,1.7,15.8
Rodions Kurucs,SF,20,81,0.45,0.315,0.783,6.8,1.4,1.1,0.7,14.9
Rodney Hood,SG,26,80,0.435,0.356,0.884,3,2.4,1.1,0.2,15.3
Rodney McGruder,SG,27,76,0.403,0.351,0.722,5.5,2.6,0.8,0.3,11.7
Ron Baker,SG,25,76,0.2,0.077,0.833,2.6,3.6,1.4,0.2,3.3
Rondae Hollis-Jefferson,SF,24,79,0.411,0.184,0.645,9,2.8,1.3,0.8,15.4
Royce O'Neale,SF,25,78,0.475,0.386,0.762,6.1,2.7,1.2,0.5,9.2
Rudy Gay,PF,32,80,0.504,0.402,0.816,9.2,3.6,1.1,0.7,18.5
Rudy Gobert,C,26,85,0.669,0,0.636,14.5,2.2,0.9,2.6,17.9
Russell Westbrook,PG,30,75,0.428,0.29,0.656,11,10.7,1.9,0.5,22.9
Ryan Anderson,PF,30,82,0.304,0.225,0.75,6,2.1,0.4,0.1,7
Ryan Arcidiacono,PG,24,75,0.447,0.373,0.873,4,4.9,1.2,0.1,10
Ryan Broekhoff,SG,28,79,0.452,0.409,0.789,5,1.7,0.5,0.3,13.3
Salah Mejri,C,32,86,0.491,0.324,0.625,11.8,3.2,0.9,2.3,12.7
Sam Dekker,PF,24,81,0.469,0.306,0.609,6.8,2.1,1.7,0.3,13.1
Scott Machado,PG,28,73,0.667,1,1,0,5.7,1.9,0,18.9
Semi Ojeleye,PF,24,79,0.424,0.315,0.615,5.2,1.4,0.6,0.2,11.3
Serge Ibaka,C,29,82,0.529,0.29,0.763,10.8,1.8,0.5,1.8,19.9
Seth Curry,SG,28,84,0.456,0.45,0.846,3.1,1.7,0.9,0.3,15
Shabazz Napier,PG,27,73,0.389,0.333,0.833,3.7,5.2,1.5,0.6,19.4
Shai Gilgeous-Alexander,PG,20,78,0.476,0.367,0.8,3.8,4.5,1.6,0.7,14.7
Shake Milton,SG,22,78,0.391,0.318,0.714,4.7,2.4,1.1,1.1,11.7
Shaquille Harrison,PG,25,76,0.432,0.27,0.667,5.6,3.5,2.2,0.8,11.9
Shaun Livingston,PG,33,79,0.519,0,0.784,4.4,4.2,1.2,1,9.6
Shelvin Mack,PG,28,75,0.404,0.354,0.69,3,5.3,1.4,0.1,12.4
Sindarius Thornwell,SG,24,77,0.347,0.2,0.735,5.1,2.1,1.6,0.8,7.1
Skal Labissière,PF,22,83,0.531,0.462,0.529,8.8,2.3,1,1.2,13.7
Solomon Hill,SF,27,79,0.382,0.317,0.719,5.5,2.3,0.9,0.4,7.8
Spencer Dinwiddie,PG,25,78,0.442,0.335,0.806,3.1,5.8,0.8,0.3,21.5
Stanley Johnson,SF,22,79,0.389,0.288,0.781,6.5,2.6,1.8,0.4,13.5
Stephen Curry,PG,30,75,0.472,0.437,0.916,5.7,5.6,1.4,0.4,29.1
Sterling Brown,SG,23,78,0.465,0.361,0.69,6.4,2.9,0.9,0.3,13
Steven Adams,C,25,84,0.595,0,0.5,10.3,1.7,1.6,1,14.9
Sviatoslav Mykhailiuk,SF,21,80,0.329,0.326,0.6,2.9,3,1.1,0.1,10.9
T.J. Leaf,PF,21,82,0.541,0.258,0.613,8.6,1.7,0.6,1.3,15.5
T.J. McConnell,PG,26,77,0.525,0.333,0.784,4.3,6.3,1.9,0.4,11.8
T.J. Warren,SF,25,80,0.486,0.428,0.815,4.6,1.7,1.4,0.8,20.4
Tahjere McCall,SG,24,77,0.667,0,0,4.5,0,0,0,18
Taj Gibson,PF,33,81,0.566,0.324,0.757,9.8,1.8,1.1,0.8,16.1
Taurean Waller-Prince,SF,24,80,0.441,0.39,0.819,4.6,2.7,1.2,0.4,17.2
Terrance Ferguson,SG,20,79,0.429,0.366,0.725,2.6,1.3,0.7,0.3,9.6
Terrence Jones,PF,27,81,0.25,0,0,28.8,0,0,0,14.4
Terrence Ross,SG,27,79,0.428,0.383,0.875,4.7,2.3,1.2,0.5,20.5
Terry Rozier,PG,24,73,0.387,0.353,0.785,6.2,4.6,1.4,0.4,14.2
Thabo Sefolosha,SF,34,79,0.477,0.436,0.636,7.3,1.6,2.5,0.3,11.2
Thaddeus Young,PF,30,80,0.527,0.349,0.644,7.6,3,1.8,0.5,14.8
Theo Pinson,SG,23,78,0.342,0.261,0.864,6.1,3.6,1,0,13.8
Thomas Bryant,C,21,83,0.616,0.333,0.781,10.9,2.2,0.6,1.6,18.2
Thomas Welsh,C,22,84,0.538,0.429,0.5,4,5,0,0,18
Thon Maker,C-PF,21,85,0.407,0.32,0.667,7.5,1.7,0.8,1.9,12
Tim Frazier,PG,28,73,0.444,0.366,0.759,5.4,8,1,0.2,10
Tim Hardaway,SG,26,78,0.393,0.34,0.841,3.9,2.8,0.9,0.1,20.5
Timothé Luwawu-Cabarrot,SF,23,78,0.376,0.31,0.756,5.2,1.4,1,0.4,12.4
Tobias Harris,PF,26,81,0.487,0.397,0.866,8.2,2.9,0.6,0.5,20.8
Tomáš Satoranský,PG,27,79,0.485,0.395,0.819,4.6,6.6,1.4,0.2,11.8
Tony Bradley,C,21,80,0.5,0,0.5,15,1,2,2,17
Tony Parker,PG,36,74,0.46,0.255,0.734,3,7.4,0.8,0.3,19
Tony Snell,SF,27,79,0.452,0.397,0.881,4.3,1.9,0.7,0.5,12.3
Torrey Craig,SF,28,79,0.442,0.324,0.7,6.3,1.7,0.9,1.1,10.3
Trae Young,PG,20,74,0.418,0.324,0.829,4.3,9.4,1,0.2,22.3
Treveon Graham,SG,25,77,0.335,0.297,0.818,5.4,1.7,0.7,0.4,9.3
Trevon Duval,PG,20,74,0.667,1,,6,12,0,0,30
Trevor Ariza,SF,33,80,0.399,0.334,0.793,5.7,3.9,1.4,0.3,13.2
Trey Burke,PG,26,73,0.431,0.352,0.831,3.2,5.1,1.1,0.2,20.2
Trey Lyles,PF,23,82,0.418,0.255,0.698,7.9,2.8,1,0.7,17.6
Tristan Thompson,C,27,82,0.529,0,0.642,13.2,2.6,0.8,0.5,14.1
Troy Brown,SF,19,79,0.415,0.319,0.681,7.2,3.9,1,0.2,12.2
Troy Caupain,PG,23,76,0.5,0.667,,6.8,9,2.3,0,22.5
Troy Daniels,SG,27,76,0.411,0.381,0.783,3.5,1.2,1.2,0.2,15.1
Troy Williams,SF,24,79,0.449,0.318,0.6,6.8,1.3,1.2,0.9,12.8
Tyler Cavanaugh,PF,24,81,0.3,0.2,1,7.4,0.9,0,0,8.3
Tyler Davis,C,21,82,0,0,,36,0,0,0,0
Tyler Dorsey,SG,22,77,0.405,0.333,0.623,5.8,2.9,0.7,0.1,15.3
Tyler Johnson,PG,26,76,0.413,0.346,0.748,4.1,3.9,1.3,0.6,14.6
Tyler Lydon,PF,22,82,0.5,0.4,0.333,6.9,2.3,0.8,0,8.8
Tyler Ulis,PG,23,70,,0,,0,0,0,0,0
Tyler Zeller,C,29,84,0.533,0,0.778,9.3,1.5,0.4,1.2,17.8
Tyreke Evans,SG,29,78,0.389,0.356,0.719,5.2,4.3,1.5,0.5,18.1
Tyrone Wallace,PG,24,77,0.424,0.211,0.526,5.8,2.4,1.2,0.4,12.5
Tyson Chandler,C,36,85,0.616,0,0.586,12.6,1.5,0.9,0.9,7.1
Tyus Jones,PG,22,74,0.415,0.317,0.841,3.1,7.5,1.9,0.1,10.8
Udonis Haslem,C,38,80,0.333,0,0.75,13.1,1,0,0,12.2
Victor Oladipo,SG,26,76,0.423,0.343,0.73,6.3,5.8,1.9,0.3,21.2
Vince Carter,PF,42,78,0.419,0.389,0.712,5.3,2.4,1.2,0.7,15.2
Vince Edwards,SF,22,80,0.25,0.25,,4.5,0,0,0,6.8
Wade Baldwin,PG,22,76,0.303,0.222,0.727,5.7,4.6,0.4,0.8,11.5
Walt Lemon,PG,26,75,0.437,0.4,0.727,5.8,6.5,2.4,0.2,18.5
Wayne Ellington,SG,31,77,0.403,0.371,0.796,3,2,1.5,0.2,15.1
Wayne Selden,SG,24,77,0.406,0.316,0.728,4.5,2.7,0.8,0.3,12.9
Wendell Carter,C,19,82,0.485,0.188,0.795,10,2.5,0.8,1.9,14.8
Wesley Iwundu,SF,24,79,0.412,0.367,0.816,5.4,2.1,0.8,0.6,9.9
Wesley Johnson,SF,31,79,0.352,0.329,0.684,4.9,1.6,0.9,0.8,8.6
Wesley Matthews,SF-SG,32,77,0.4,0.372,0.81,2.9,2.8,0.9,0.3,14.5
Will Barton,SG,28,78,0.402,0.342,0.77,6,3.8,0.5,0.7,15
Willie Cauley-Stein,C,25,84,0.556,0.5,0.551,11,3.2,1.6,0.8,15.7
Willy Hernangómez,C,24,83,0.519,0.385,0.694,13.8,2.7,0.7,0.9,18.7
Wilson Chandler,PF-SF,31,81,0.418,0.373,0.72,6.6,2.5,0.8,0.6,9.3
Yante Maten,PF,22,80,0.25,0,,8.3,0,2.8,0,5.5
Yogi Ferrell,PG,25,72,0.435,0.362,0.896,3.7,4.6,1.2,0.1,14.2
Yuta Watanabe,SF,24,81,0.294,0.125,0.7,6.4,1.7,0.8,0.2,8.1
Zach Collins,C,21,84,0.473,0.331,0.746,8.6,1.9,0.7,1.8,13.6
Zach LaVine,SG,23,77,0.467,0.374,0.832,4.9,4.7,1,0.4,24.7
Zach Lofton,SG,26,76,0,0,,0,0,9,0,0
Zaza Pachulia,C,34,83,0.44,0,0.782,10.9,3.7,1.3,0.7,10.9
Zhaire Smith,SG,19,76,0.412,0.375,0.75,4.2,3.2,0.6,0.6,13
Zhou Qi,PF,23,85,1,0,,0,0,0,0,72
